STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year
1384,MANIMALA AT THONDRA,3,27,6.8,6.9,116,1.7,0.4,825,1260,2012
3459,"MANIYANKODE PUZHA AT MANIYANKODE BRIDGE, WAYANAD",3,27,5.8,7.3,107,0.9,0.88,232,343,2012
2307,R MANJESWAR AT BAJRAKKARA BR.,3,28,7.1,7.2,85,0.8,0.31,67,184,2012
1339,MEENACHIL AT KIDANGOOR,3,26,6.8,7.1,58,0.7,0.46,2010,3460,2012
2304,R MOGRAL AT MOGRAL BR.,3,29,5.7,7.3,13197,1.5,0.35,46,144,2012
43,MUVATTAPUZHA AT VETTIKKATTUMUKKU,3,27,6.7,7.1,58,1.2,0.39,964,1739,2012
2302,NEELASWARAM AT NAMBIARKAL ,3,28,7,6.9,3453,0.9,0.17,56,278,2012
1570,R NEELESWARAM AT HOSDURG,3,29,6.5,7,14369,1.3,0.27,63,175,2012
1563,R NEYYAR AT AMARAVILA,3,28,6.6,7.3,70,1.4,0.39,838,1875,2012
2284,R NEYYAR AT ARUVIPURAM,3,29,7,7.3,60,0.8,0.18,631,1813,2012
2288,R PALLICKAL AT NELLIMUKAL,3,26,6.3,7.2,97,0.8,0.56,357,880,2012
1156,PAMBA AT CHENGANNUR,3,28,6,7,63,1.1,1.04,243,493,2012
1341,PAMBA AT THAKAZHY,3,28,4.4,7.1,113,1.5,1.17,358,722,2012
1565,PAMBA DOWN,3,28,4.5,7.2,79,1,1.04,279,537,2012
17,PERIYAR NEAR ALWAYENANELOOR,3,28,5.1,6.9,1789,2.1,0.68,408,1946,2012
18,PERIYAR AT KALADY,3,27,7.5,7.2,36,1.1,0.27,282,1134,2012
1338,PERIYAR AT SEWAGE DISCHARGE POINT,3,28,6.8,7,59,1.3,0.32,648,2267,2012
2333,PERIYAR AT MUPPATHADAM,3,28,6.8,6.9,114,1.4,0.23,388,1785,2012
2334,RIVER PERIYAR AT PATHALAM,3,28,5.9,6.8,1108,2.2,0.62,386,1520,2012
2335,R PERIYAR AT KALAMASSERY,3,28,4.9,6.7,88,2.2,0.28,480,2200,2012
2336,R PERIYAR AT PURAPPALLIKAVU,3,28,6.8,6.9,1686,1.4,0.25,236,1223,2012
3468,"PERIYAR AT KWA INTAKENAN ALUVA, ERNAKULAM",3,28,7.1,6.9,45,1.2,0.29,451,1636,2012
2300,PERUVAMBA AT CHANDAPPURA,3,26,6.9,6.6,56,1.1,0.3,177,542,2012
2303,R PULLUR AT PULLUR BR.,3,28,6.5,6.3,49,1,0.22,87,323,2012
2290,R PUZHACKAL AT PUZHACKAL BRIDGE,3,29,4.9,6.6,169,2.1,0.76,250,1241,2012
2299,R RAMAPURAM AT RAMAPURAM BRIDGE,3,28,4.2,6.5,19575,1.4,0.39,210,528,2012
2305,R SHRIYA AT ANGADIMOGARU,3,28,6.9,7.1,63,0.9,0.16,152,336,2012
2296,THALLASSERY AT PATHIPPALAM,3,26,6.6,6.7,69,0.8,0.38,185,464,2012
2292,THIRUR AT THALAKKADATHUR BDG,3,29,4.5,6.6,6381,2.1,0.34,196,435,2012
2306,R UPPALA AT  UPPALA BR.,3,29,6.2,7.2,9326,1.3,0.22,61,141,2012
3473,"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",3,27,6.6,7.1,15158,1.1,0.26,126,810,2012
1442,VAMANAPURAM,3,29,6.3,7.3,74,1.2,0.29,725,1813,2012
1448,NAGAVALLI AT THOTAPALLI REGULATOR,4,27,6,7.6,429,1.1,1.1,3,362,2012
2352,"RIVER VAMSHADHARA, KALINGAPATNAM,VIZIANAGARAM",4,27,6,7.8,308,1.1,1.47,3,343,2012
3080,"U/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM",4,20,5.8,7.4,505,0.6,0.73,4,1517,2012
3081,"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM",4,24,6.1,7.5,465,0.5,0.34,4,1458,2012
1444,KALI AT D/S WEST COAST PAPER MILL,5,28,6.4,7.1,183,2.3,0.62,209,398,2012
2780,"KALI AT U/S OF WCPM, DANDELI",5,27,7.1,7.4,135,1.9,0.72,419,995,2012
1894,KUMARADHARA NAN U/S OF UPPINAGADY TOWN B/C WITH RIVER NETHRAVATHI,5,32,6.7,7.2,103,1, ,11,70,2012
1892,NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,5,30,6.8,7.1,106,1, ,13,137,2012
2423,"BUDHABALANGA, D/S OF BARIPADA",18,22,7.8,7.9,213,1.5,0.35,7742,15083,2012
2424,BUDHABALANGA AT BALASORE D/S,18,22,7.7,8.1,312,2,0.75,12675,32017,2012
2425,"RIVER KERANDI(INTAKE WELL OF NALCO REFINARY, HAL, SUNABEDA)",18,24,6.9,7.6,99,1.6,1.39,3066,5395,2012
2422,"NAGAVALLI AT PENTA U/S, JAYKAYPUR TOWN",18,27,7.3,8,230,1.6,0.69,2346,4348,2012
1642,NAGAVALLI AT JAYKAYPUR D/S,18,26,6.8,8.1,264,2.6,1.16,2428,5142,2012
1643,NAGAVALLI AT RAYAGADA D/S,18,25,7.2,8.1,272,3.1,1.46,2196,4586,2012
1455,RUSHIKULYA AT GANJAM U/S,18,28,8,8.3,312,1.4,0.73,1618,4319,2012
1456,RUSHIKULYA AT GANJAM D/S,18,29,8.2,8,19595,2,0.94,624,1116,2012
2426,VANSADHARA AT MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT),18,26,7,8,199,1.8,1.11,1503,3573,2012
2427,VANSADHARA ATGUNUPUR (INTERSTATE BOUNDRY),18,28,7.2,8.1,201,1.6,0.36,1239,2324,2012
1685,ARASALAR RIVER KARAIKAL REGION,7,31,6.8,7.8,505,2.1,0.02, , ,2012
2444,CORINGA RIVER,7,25,6.5,7.9,11170,3,0.3, , ,2012
2442,GAUTAMINANGODAVARI RIVER,7,25,6.9,7.4,4990,3,0.37, , ,2012
2443,GAUTAMINANGODAVARI RIVER,7,25,6.8,8.1,1516, ,0.28, , ,2012
2445,MAHE RIVER,7,26,6,7.3,44600, ,0.23, , ,2012
1450,PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK,8,27,6.8,7.5,890,2.1,0.51,274,589,2012
1159,TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD. PAPAVINASAM,8,23,7.3,7.6,160,1.9,0.06,32,89,2012
1160,"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY",8,25,7,7.7,111,2.2,0.08,53,131,2012
1161,"TAMBIRAPARANI AT TIRUNELVELI,COLLECTORATE",8,26,6.7,7.7,139,3.1,0.22,123,300,2012
1162,TAMBIRAPARANI AT MURAPPANADU,8,29,7.2,7.2,288,2.1,0.14,33,91,2012
1328,TAMBIRAPARANI AT PAPPANKULAM,8,24,7,7.1,95,1.9,0.08,47,118,2012
1329,TAMBIRAPARANI AT RAIL BDG. ,8,24,7,7.5,84,1.7,0.06,32,87,2012
1330,TAMBIRAPARANI AT ARUMUGANERI,8,29,7.4,7,3101,15.6,0.15,76,174,2012
3025,"TAMBIRAPARANI AT ERAL, THOTHUKUDI",8,29,7.2,7.3,510,2.9,0.08,46,123,2012
3026,"TAMBIRAPARANI AT KALLIDAI KURICHI, TIRUNELVELI",8,24,7.1,7.4,88,1.8,0.07,34,90,2012
3027,"TAMBIRAPARANI AT SRIVAIKUNTAM, D/S OF SK ANAICUT, TIRUNELVELI",8,29,7.2,6.9,338,3.8,0.07,44,104,2012
3028,"TAMBIRAPARANI AT VELLAKOIL, TIRUNELVELI",8,26,6.7,7.6,162,3.3,0.16,90,249,2012
3029,"TAMBIRAPARANI AT SIVALAPERI, CONFLUENCE POINT OF KUTTRALAM FALLS, D/S OF PALAYAMKOTTAI, TIRUNELVELI",8,27,6.7,7.6,182,4.1,0.15,92,251,2012
3023,"VASISTA AT SALEM, D/S OF SAGO INDUSRIES EFFLUENT",8,32,0.2,7.2,2219,185.8,1.75,180000000,300000000,2012
1885,GHAGGAR AT D/S OF SURAJPUR,9, ,6.8,8,414,3.1,0.88, , ,2012
1023,GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA),10,21,5.5,7.4,635,8.8,5.08,1400,5500,2012
1024,GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),10,24,5.5,7.4,1051,25,6.8,32000,63000,2012
1295,"GHAGGAR NEAR BANKARPUR,DERA BASSI",10,21,5.3,7.3,636,9.9,5,2150,10000,2012
1473,"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI (AFTER CONFL.)",10,24,5.1,7.4,993,21.9,6.63,36250,57750,2012
1698,GHAGGAR AT D/S CHHATBIR,10,21,5.3,7.5,632,13.5,5.08,20000,34750,2012
1699,GHAGGAR AT U/S DHAKANSU NALLAH,10,18,4.9,7.4,973,17.5,4.77,22000,40667,2012
1700,GHAGGAR AT D/S DHAKANSU NALLAH,10,22,4.3,7.5,1156,24.5,7.65,33750,65000,2012
1701,GHAGGAR AT D/S JHARMAL NADI,10,22,4.8,7.4,904,26,8.6,31750,55000,2012
1702,GHAGGAR AT U/S JHARMAL NADI,10,21,5.1,7.4,1110,16,14.85,3475,12000,2012
1703,GHAGGAR AT MOONAK,10,24,5.3,7.4,1290,26.9,8.1,36250,66250,2012
1704,GHAGGAR AT D/S SARDULGARH,10,22,4.9,7.4,990,27.8,6.78,19000,40500,2012
1705,GHAGGAR AT U/S SARDULGARH,10,22,5.2,7.4,914,20.5,6.18,14750,29500,2012
1025,"GHAGGAR GHNAN1 AT ROAD BRDG. SIRSA,DEBWALI ROAD",9, ,6.4,7.9,1808,21,5.9, , ,2012
1026,GHAGGAR GHNAN2 AT CHANDARPUR ,9, ,6.6,7.8,1302,18, , , ,2012
1887,GHAGGAR BEFORE OTTU WEIR (BEFORE MIXING OF SATLUJ CANAL ,9, ,6.4,8,1286,19.5, , , ,2012
1718,GAGGAR RIVER WHEN ENTERING IN 11 FROM 9 NEAR RD NO. 629,11,33,4.8,7.5,280,2.4,0.72,3,4,2012
1871,"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR",12,20,7.7,7.4,344,1.2,0.37,9,19,2012
2624,MARKANDA U/S KALA AMB,12,20,7.3,7,310,1.4,0.38,13,22,2012
2625,MARKANDA D/S KALA AMB/ BOUNDARY OF 9,12,20,7.1,7.7,303,1.5,0.34,13,23,2012
1884,KALA AMB D/S MARKANDA RIVER,9,20,3.3,7.5,1630,185,1.75, , ,2012
1870,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN",12,18,6.2,7.5,788,41.5,4.08,105,235,2012
2947,"JAWAI AT JAWAI DAM, SIROHI",11,24,6,8.3,468,1.4,0.43,5,16,2012
1717,"KODRA DAM, MOUNT ABU",11,19,5.9,7.3,234,1.5,0.36,4,12,2012
2948,"BANDI AT HEMAWAS DAM, PAL",11,23,6.4,8,527,1.2,0.35,5,21,2012
2949,"RIVER LUNI AT RANAKPUR DAM, RANAKPUR, PALI",11,24,5.9,7.9,796,1.5,0.48,4,14,2012
3305,"BANJAR AT MALANJKHAND NR W/S INTAKE POINT, JABALPUR",19,23,7.3,7.4,388,2.1,0.58, ,46,2012
2869,BARAK RIVER AT SENAPATI DISTT,20,28,8.5,7.5,166,2.7,NAN,NAN,31,2012
2838,"BARAK RIVER NR NONEY VILL., TAMENGLONG",20,29,8.9,7,125,1.9,NAN,NAN,45,2012
2868,"CHAKPIAT CHAKPIKARONG, CHANDEL",20,30,8,7.8,144,2.1,NAN,NAN,51,2012
1424,IMPHAL AT MAHABALI,20,30,7.5,7.7,87,1.2,NAN,NAN,54,2012
1457,IMPHAL AT KOIRENGEI,20,28,8.5,7.6,84,2,NAN,NAN,16,2012
1627,IMPHAL AT KYAMGEI,20,29,8.4,7.5,103,1.9,NAN,NAN,75,2012
1628,IMPHAL AT MINUTHONG,20,30,8.7,7.2,117,3.2,NAN,NAN,52,2012
2861,"IMPHAL AT KANGLA MOAT, IMPHAL WEST",20,29,6.5,7.7,287,8.2,NAN,NAN,114,2012
2862,"IMPHAL AT SAMUROU, IMPHAL WEST",20,28,8.6,7.5,130,4.6,NAN,NAN,39,2012
2864,"IMPHAL AT SEKMAI, IMPHAL EAST",20,28,8.9,7.5,109,1.2,NAN,NAN,33,2012
2874,IRANG RIVER AT TAMENGLONG ,20,30,9.8,8.4,246,1.2,NAN,NAN,10,2012
1458,IRIL AT PORAMPET,20,28,7.6,7.5,147,1.3,NAN,NAN,30,2012
1624,IRIL AT LILONG,20,29,8.7,7.6,202,1.2,NAN,NAN,60,2012
2863,"IRIL AT KANGLA SIPHAI, IMPHAL EAST",20,28,8.4,7.4,177,2.4,NAN,NAN,48,2012
2873,"IRIL RIVER AT LILONG, UKHRUL",20,29,8.7,7.6,203,2.5,NAN,NAN,59,2012
2865,"JIRI RIVER AT JIRIMUKH JIRIBAM, IMPHAL EAST",20,32,8.2,7.4,120,1.9,NAN,NAN,46,2012
2866,"JIRI RIVER AT JIRI, IMPHAL EAST",20,32,8,7.2,110,1.4,NAN,NAN,80,2012
1925,KHUGA RIVER (CHURACHANDPUR),20,30,8.4,7.6,213,1.5,NAN,NAN,20,2012
2877,"KHUGA DAM ON KHUGA R, CHURACHANDPUR",20,29,9.4,7.8,174,1,NAN,NAN,16,2012
1926,"KHUJAIROK, MOREH (CHANDEL)",20,31,8.1,8,244,2.4,NAN,NAN,73,2012
2878,LOKCHAO RIVER AT BISHNUPUR,20,29,8.1,8,162,1.8,NAN,NAN,26,2012
2867,MAHA RIVER AT CHANDEL,20,30,8.7,7.6,163,2.6,NAN,NAN,24,2012
2852,"20 AT SEKMAIJAN, THOUBAL",20,29,8.7,7.6,143,1.9,NAN,NAN,58,2012
2857,20 RIVER AT THOUBAL,20,30,9.2,7.6,208,1.9,NAN,NAN,30,2012
2879,ETHAI BARRAGE ON 20 R AT BISHNUPUR,20,29,8.3,7.7,158,2,NAN,NAN,48,2012
1625,NAMBUL RIVER AT HUMP BRIDGE,20,29,5.9,7.1,338,6.6,NAN,NAN,522,2012
1626,NAMBUL AT HEIRANGOITHONG,20,30,4.3,7.4,269,12.3,NAN,NAN,412,2012
2858,"NAMBUL RIVER AT SAMUSANG,IMPHAL WEST",20,29,8.2,7.1,109,3.3,NAN,NAN,12,2012
2859,"SINGDA DAM AT NAMBUL, IMPHAL WEST",20,28,11.1,7.6,131,3.6,NAN,NAN,32,2012
2860,"NAMBUL AT NAOREMTHONG, IMPHAL WEST",20,29,7.4,7.1,116,2.7,NAN,NAN,55,2012
2880,NAMBUL RIVER AT BISHNUPUR,20,28,8.2,7.6,112,2.1,NAN,NAN,31,2012
1927,"SEKMAI R, KAKCHING (THOUBAL)",20,29,8.5,7.5,169,3.6,NAN,NAN,41,2012
2853,"MAPITHEL DAM ON THOUBAL, THOUBAL",20,28,11.4,7.2,128,1,NAN,NAN,20,2012
2854,"THOUBAL R AT PHADOM, THOUBAL",20,29,8.9,7.6,221,1.7,NAN,NAN,30,2012
2856,"THOUBAL RIVER AT YAIRIPOK, THOUBAL",20,30,9.3,7.6,193,2.3,NAN,NAN,41,2012
2870,"THOUBAL  AT SHONG KONG, UKHRUL",20,28,9.1,7.3,217,3.9,NAN,NAN,67,2012
2871,"THOUBAL  AT YONGUL KONG, UKHRUL",20,28,7.9,7.3,131,0.8,NAN,NAN,38,2012
2872,"THOUBAL AT LITAN, UKHRUL",20,29,8.7,7.4,176,2.2,NAN,NAN,36,2012
2855,"WANGJING AT HEIROK, THOUBAL",20,30,8.1,7.3,199,2.2,NAN,NAN,56,2012
2876,"WANGJING RIVER AT WANGJING, THOUBAL",20,30,8.2,7.4,170,2.2,NAN,NAN,39,2012
3383,"BUGI RIVER AT MIBANPARA, SOUTH GARO HILLS",13,25,7.7,7.2,95,1.8,2.67,22,50,2012
3384,"BUGI AT DALU, SOUTH GARO HILLS",13,25,7.6,7.2,92,2.5,2.41,20,45,2012
3380,"DAMRING RIVER (KRISHNEI RIVER) AT RESUBELPARA, EAST GARO HILLS",13,25,9.9,7.2,65,1.5,2.31,21,55,2012
1632,GANOL RIVER TURA,13,24,7.6,7.4,93,2.1,2.89,276,408,2012
1428,"KYRHUKHLA NR SUTNGA KHLIERIAT,JAINTIA HILLS ",13,22,5.5,2.9,568,6.8,1.12,18,33,2012
3369,"KYNSHI RIVER AT SOHIONG, WEST KHASI HILLS",13,16,7.6,7,42,1.3,3.01,11,27,2012
3370,"KYNSHI  AT NANGKHNUM, WEST KHASI HILLS",13,17,7.7,7.1,45,1.4,2.89,9,22,2012
3371,"KYNSHI RIVER AT RANIKOR, WEST KHASI HILLS",13,23,8.3,7,59,1.7,2.86,16,33,2012
3375,LUKHA RIVER AT MYNDIHATI (TRIBUTARY OF LUNAR),13,25,6.9,2.6,1072,3.2,1.17,3,21,2012
3376,LUKHA RIVER AT SUNAPUR (TRIBUTARY OF LUNAR),13,25,7.7,6.3,250,2.1,3.88,180,326,2012
3381,"MANDA RIVER (DUDHAI RIVER) AT JAMPA, EAST GARO HILLS",13,25,8.8,7.3,37,1.5,1.62,15,35,2012
3382,"MANDA RIVER (DUDHAI RIVER) AT WAGAISI, EAST GARO HILLS",13,25,7.3,7.3,72,2,1.65,17,36,2012
3377,"MYNTANG RIVER AT NARTIANG, JAYANTIA HILLS",13,20,7.5,7,38,1.7,2.2,18,40,2012
3378,"MYNTANG RIVER AT MYNSO, JAYANTIA HILLS",13,22,7.8,7.1,44,1.6,2.62,15,33,2012
1631,MYNTDU RIVER JOWAI,13,20,7,7,100,2.4,3.03,1967,2600,2012
3379,"MYNTDU RIVER AT LESHKA, JAYANTIA HILLS",13,21,7.5,6.3,52,1.7,0.82,7,21,2012
3367,"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS",13,16,6.4,6.9,61,2.6,3.88,227,538,2012
3368,"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS",13,17,7.5,7.1,39,1.4,2.88,12,22,2012
3372,"RILANG AT MAWKYRWAT, WEST KHASI HILLS",13,17,8,7.1,41,1.4,3.35,10,25,2012
1633,SIMSANG RIVER WILLIAMNAGAR,13,24,7.9,7.3,93,1.7,5.02,295,418,2012
3353,"UMIAM MAWPHLANG RIVER AT NONGKREM, EAST KHASI HILLS",13,18,7.5,6.9,69,1.9,4.92,20,49,2012
3354,"UMIAM MAWPHLANG RIVER AT UMTYNGNGAR, EAST KHASI HILLS",13,18,7.9,7.2,46,1.7,2.72,20,45,2012
3355,"UMIAM MAWPHLANG RIVER AT MAWPHLANG, EAST KHASI HILLS",13,18,8,7.2,42,1.4,2.47,5,31,2012
3356,"UMIAM MAWPHLANG RIVER AT SHELLA, EAST KHASI HILLS",13,25,7.7,7.1,101,1.5,3.42,16,43,2012
3350,UMKHEN AT WAHKDAIT,13,19,7.2,7.1,49,1.6,2.86,17,40,2012
3351,UMKHEN AT KSEHPONGDENG,13,21,8.2,7.1,49,1.2,2.81,15,32,2012
3352,"UMKHEN AT DIENGPASOH, EAST KHASI HILLS",13,21,7.8,7.1,58,1.5,2.97,19,43,2012
3359,"UMKHRAH RIVER AT DEMTHRING, SHILLONG",13,18,3.9,7.1,235,16.9,16.61,16500,23000,2012
3360,"UMKHRAH RIVER ATUMKALIAR, SHILLONG",13,18,4.9,7.1,182,14.2,11.61,10417,15500,2012
3361,"UMKHRAH RIVER ATMAWLAI, SLAUGHTER",13,19,2.7,7.1,281,35.4,14.84,41000,62667,2012
3362,"UMKHRAH RIVER AT MAWPDANG, MAWLAI",13,19,2.5,7.1,382,37.2,11.81,53083,87167,2012
3357,"UMNGOT RIVER AT SMIT, EAST KHASI HILLS",13,18,8,7,48,1.4,3.8,17,41,2012
3358,"UMNGOT RIVER AT DAWKI, EAST KHASI HILLS",13,24,8.4,7.1,48,1.2,3.08,18,45,2012
3363,"UMSHYRPI AT RISA COLONY, EAST KHASI HILLS",13,17,6.8,6.6,49,1.9,3.07,18,38,2012
3364,"UMSHYRPI  AT LAW COLLEGE, DHANKETI, EAST KHASI HILLS",13,18,2.1,7,286,45.6,10.61,51250,84500,2012
3365,"UMSHYRPI AT UMSHYRPI BDG, EAST KHASI HILLS",13,19,4,7.1,194,22.4,10.47,29500,45250,2012
1427,UMTREW AT BYRNIHAT EAST,13,24,7.7,7.2,107,6.6,3.02,285,425,2012
3366,"UMTREW RIVER AT UMRAN, RINAN BHOI",13,22,7.6,7.1,51,2,2.6,37,81,2012
3373,"WAH BLEI AT RIANGDO, WEST KHASI HILLS",13,20,7.7,7.1,46,1.6,3.93,8,22,2012
3374,"WAH BLEI AT SHDADDKHAR, WEST KHASI HILLS",13,20,7.7,7.1,49,1.9,3.89,11,26,2012
2050,TLAWNG UPSTREAM AIZAWL,14,24,6.5,7.4,297,1,0.13,26,438,2012
2051,TLAWNG DOWNSTREAM AIZAWL,14,24,6.3,7.5,287,0.9,0.14,5,204,2012
2052,TUIRIAL UPPER CATCHMENT,14,24,6.5,7.2,375,1.1,0.17,33,625,2012
2053,TUIRIAL LOWER CATCHMENT,14,24,6.9,6.9,349,1.1,0.18,38,503,2012
1403,GUMTI AT U/S SOUTH 15,15,28,6.6,7.8,165,1.6, ,268,316,2012
1404,GUMTI AT D/S SOUTH 15,15,28,6.4,8,155,3.9,0.5,512,516,2012
1726,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER",15,27,6.5,8,168,4.2,0.99,488,616,2012
1393,DAMANGANGA AT D/S OF MADHUBAN,16,29.1,6.7,7.7,218,5,1.31,NAN,NAN,2011
2459,DAMANGANGA AT ZUARI CAUSE WAY BRIDGE,16,27,4.2,7.9,4909,18,7,NAN,NAN,2011
2460,DAMANGANGA AT DISCHARGE POINT OF DISTILLERY,16,28.1,4.6,8,23576,158.8,6.88,35,46,2011
2461,"DAMANGANGA AT DAMAN JETTY, MOTI DAMAN",16,29.1,4.8,7.8,65700,164,3.42,NAN,NAN,2011
2462,"DAMANGANGA AT VAPI WEIR,VAPI",16,27.7,6.7,8.5,235,NAN,3.1,NAN,NAN,2011
2463,"DAMANGANGA AT LAVACHA TEMPLE, SILVASSA",16,27.1,6.7,8.3,262,NAN,NAN,NAN,NAN,2011
2464,"DAMANGANGA AT D/S OF M/S SURAT BEVERAGES, VILLAGE DADRA, SILVASSA",16,27.1,6.8,7.8,227,NAN,NAN,NAN,NAN,2011
2465,"DAMANGANGA AT NAROLI BRIDGE, SILVASSA",16,27.3,6.8,8.5,249,NAN,0.11,NAN,NAN,2011
2466,"DAMANGANGA AT VILLAGE NAMDHA, VAPI",16,27,4.2,8.2,2754,42,NAN,NAN,NAN,2011
1150,DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,17,27.6,7.1,7.3,212,1.4,0.84,3,6,2011
1246,DAMANGANGA AT KACHIGAON D\S (DAMAN),17,28.2,5,8.3,12771,4.1,1.48,7,30,2011
1860,BALEHWAR KHADI AT N.H. NO. 8,17,28,6.7,8,304,1.5,0.18,1500,3550,2011
1861,PURNA ON BRIDGE AT SURATNANNAVSARI HIGHWAY,17,28.5,5.8,7.7,1315,2.5,0.22,1900,6800,2011
1862,KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,17,29.5,5.9,7.6,36593,3.9,0.07,1200,3200,2011
1865,DHADAR AT KOTHADA,17,27,7.6,7.7,1291,10,0.34,23,77,2011
1148,AMBIKA AT BILIMORA,17,29.5,6,7.7,18865,3.6,3.12,900,2450,2011
1435,"KOLAK AT RAILWAY BRIDGE NO. 313 VAPI,VALSAD",17,27,4.3,8.4,605,6.5,1.68,5,15,2011
1149,KOLAK AT PATALIA BDG.,17,26.7,3.7,8.2,600,4.3,1.66,6,20,2011
1438,MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN,17,27,4.6,7.2,729,4,0.33,900,2300,2011
2082,"TRIVENI SANGAM, NR. SOMNATH TEMPLE, VERAVAL, DIST. JUNAGADH.",17,26.8,6.2,8.4,2670,1.3,0.24,NAN,NAN,2011
1399,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, 1",1,28.7,6.8,6.5,43,1.1,0.42,8,178,2011
1475,ZUARI AT PANCHAWADI,1,29.3,6.6,7,59,1.1,0.27,8,113,2011
1400,"MANDOVI AT NEGHBOURHOOD OF PANAJI, 1",1,28.8,6,6.2,106,1.5,0.28,9,166,2011
1476,"MANDOVI AT TONCA, MARCELA, 1",1,28.3,5.9,6.6,516,1.1,0.18,8,169,2011
1543,RIVER KALNA AT CHANDELNAN PERNEM,1,25.8,7.3,6.1,87,0.9,0.33,6,169,2011
1548,RIVER ASSONORA AT ASSONORA,1,28.3,7.3,5.9,74,1.5,0.22,8,163,2011
2276,RIVER BICHOLIM VARAZAN NAGAR,1,27.8,6.7,6.3,127,2,0.44,10,149,2011
2275,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",1,26,6.8,6.2,226,1.6,0.18,9,151,2011
1546,RIVER KHANDEPAR AT OPA NAN PONDA,1,27.8,7.1,5.9,93,1.8,0.28,9,131,2011
2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",1,26.3,7.4,6.2,76,1.3,0.41,11,133,2011
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",1,25.7,7.3,6.2,113,1.2,0.33,9,137,2011
1545,RIVER MADAI AT DABOS NAN  VALPOI,1,29,7.3,5.9,100,1.3,0.27,6,173,2011
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,1,26.9,6,5.9,273,1.8,0.31,10,171,2011
2271,"RIVER SAL PAZORKHONI, CUNCOLIM (NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",1,27,6.1,6.5,201,2,0.43,9,149,2011
2273,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",1,27.5,6.2,6.3,245,1.8,0.31,7,135,2011
